\2024-12-29 01:40:18,087 [INFO] Websocket connected
2024-12-29 01:40:42,304 [INFO] Websocket connected
2024-12-29 01:41:40,622 [INFO] Websocket connected
2024-12-29 01:42:19,126 [INFO] Websocket connected
2024-12-29 01:42:38,652 [INFO] Websocket connected
2024-12-29 01:43:31,014 [INFO] Websocket connected
2024-12-29 01:44:04,192 [INFO] Websocket connected
2024-12-30 22:53:15,940 [ERROR]: Error creating assistant: module 'openai' has no attribute 'Assistant'
2024-12-30 23:02:11,724 [INFO] Websocket connected
2024-12-30 23:06:58,647 [INFO] Websocket connected
2024-12-30 23:08:22,957 [INFO] Websocket connected
2024-12-31 21:11:00,238 [INFO] HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2024-12-31 21:17:25,928 [INFO] HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2024-12-31 21:19:01,071 [INFO] HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2024-12-31 21:19:15,421 [INFO] HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2024-12-31 21:21:34,460 [INFO] HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2024-12-31 21:21:51,469 [INFO] HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2024-12-31 21:42:09,593 [INFO] HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-01-01 00:10:00,483 [INFO] Websocket connected
2025-01-01 00:10:32,421 [INFO] Websocket connected
2025-01-01 00:10:49,900 [INFO] Websocket connected
2025-01-01 00:12:09,710 [INFO] Websocket connected
2025-01-01 00:12:55,174 [INFO] Websocket connected
2025-01-01 00:14:49,993 [INFO] Websocket connected
2025-01-01 00:15:52,941 [INFO] Websocket connected
2025-01-01 00:16:50,043 [INFO] Websocket connected
2025-01-01 00:17:56,843 [INFO] Websocket connected
2025-01-01 00:18:38,829 [INFO] Websocket connected
2025-01-01 00:21:11,887 [INFO] Websocket connected
2025-01-01 00:24:22,496 [INFO] Websocket connected
2025-01-01 00:25:28,443 [INFO] Websocket connected
2025-01-01 00:26:06,158 [INFO] Websocket connected
2025-01-01 00:26:23,916 [INFO] Websocket connected
2025-01-01 00:27:03,062 [INFO] Websocket connected
2025-01-01 00:28:04,354 [INFO] Websocket connected
2025-01-01 00:28:46,080 [INFO] Websocket connected
2025-01-01 00:30:23,973 [INFO] Websocket connected
2025-01-01 00:31:57,776 [INFO] Websocket connected
2025-01-01 00:34:07,624 [INFO] Websocket connected
2025-01-01 00:34:47,357 [INFO] Websocket connected
2025-01-01 02:59:30,711 [INFO] Websocket connected
2025-01-01 02:59:54,466 [INFO] Websocket connected
2025-01-01 03:00:31,946 [INFO] Websocket connected
2025-01-01 03:01:29,497 [INFO] Websocket connected
2025-01-01 03:02:24,282 [INFO] Websocket connected
2025-01-01 03:06:53,821 [INFO] Websocket connected
2025-01-01 03:07:47,175 [INFO] Websocket connected
2025-01-01 03:08:22,592 [INFO] Websocket connected
2025-01-01 03:09:01,143 [INFO] Websocket connected
2025-01-01 03:09:42,058 [INFO] Websocket connected
